lms_login_frequency,assignment_delay_days,attendance_percentage,sentiment_score,activity_irregularity_score,dropout_risk_score,burnout_risk_level
18,0.2,93.8,0.99,3.4,3.3,Low
2,0.9,62.1,-0.21,7.9,71.4,High
19,0.2,85.8,0.67,1.6,12.8,Low
1,3.2,40.1,-1.0,7.9,95.2,High
8,1.9,51.7,-0.43,6.2,75.8,High
8,0.4,85.6,-0.01,5.3,32.7,Low
8,0.5,84.7,0.07,5.9,38.2,Medium
15,1.8,90.1,0.38,3.5,37.4,Medium
16,0.6,86.9,0.67,3.8,27.1,Low
17,0.5,90.3,0.24,2.7,23.3,Low
10,1.7,90.9,0.57,3.0,32.7,Low
3,0.3,45.3,-0.42,8.6,84.0,High
8,4.2,80.1,0.12,2.3,49.5,Medium
13,0.2,93.0,0.32,1.7,20.7,Low
4,0.8,77.4,-0.26,10.0,63.6,Medium
3,5.7,35.3,-0.67,7.2,89.7,High
0,5.5,50.8,-0.2,7.4,91.1,High
3,2.7,51.6,-0.73,8.7,93.6,High
10,0.5,87.4,0.82,0.8,21.6,Low
7,0.4,85.4,-0.23,5.2,41.8,Medium
1,1.3,49.0,-0.6,6.7,85.1,High
8,0.8,63.5,-0.06,3.4,53.4,Medium
12,0.1,89.4,0.56,1.0,18.3,Low
4,1.3,47.8,0.05,8.3,69.8,Medium
11,0.2,83.9,0.74,0.0,12.6,Low
12,0.3,93.4,0.78,1.9,16.7,Low
10,11.3,89.6,0.14,6.7,55.0,Medium
6,0.7,54.6,0.12,5.8,66.7,Medium
8,1.5,77.3,-0.59,6.0,59.1,Medium
13,1.4,84.9,0.67,1.3,21.7,Low
3,2.4,62.6,-0.51,6.7,65.0,Medium
16,0.1,90.2,0.56,1.4,5.3,Low
19,1.1,99.7,0.75,3.2,9.4,Low
1,2.5,59.3,-0.32,10.0,88.2,High
4,16.7,58.3,-0.24,9.4,92.3,High
3,4.3,38.9,-0.65,8.2,100.0,High
1,10.8,47.1,-0.16,8.0,100.0,High
7,2.1,75.8,-0.06,2.9,49.3,Medium
7,2.7,52.9,-0.37,5.7,71.9,High
20,0.4,93.8,0.89,2.8,15.0,Low
12,9.4,79.4,0.22,5.5,59.9,Medium
10,3.0,78.9,0.24,8.5,52.8,Medium
17,0.8,89.8,0.73,3.1,19.8,Low
4,9.3,63.9,-0.37,8.5,97.3,High
8,4.1,68.9,0.19,6.8,67.1,Medium
20,0.9,82.1,0.88,2.2,13.5,Low
13,0.6,79.1,0.41,1.3,16.0,Low
7,6.0,76.1,-0.23,7.2,63.0,Medium
9,0.3,90.1,0.35,0.4,24.8,Low
1,12.3,63.2,-0.32,8.6,100.0,High
10,2.8,77.6,-0.07,3.1,38.9,Medium
8,4.5,65.3,-0.07,4.0,51.0,Medium
9,8.2,64.0,0.1,6.5,67.5,Medium
2,10.7,52.7,-0.37,9.5,100.0,High
4,0.7,69.8,0.15,4.7,57.7,Medium
13,0.8,88.3,0.16,7.2,35.2,Medium
6,0.1,77.4,-0.18,7.2,48.0,Medium
11,0.7,93.5,0.73,1.3,15.1,Low
3,6.3,46.4,-0.65,7.6,91.8,High
2,0.5,64.7,-0.88,8.1,72.1,High
3,2.2,85.1,-0.04,6.6,56.4,Medium
2,0.4,55.8,-0.29,8.6,80.7,High
1,5.1,52.2,-0.84,9.3,100.0,High
3,0.2,51.1,-0.57,9.2,77.9,High
1,18.3,53.3,-0.46,7.9,100.0,High
9,0.4,73.2,0.31,5.1,51.8,Medium
9,13.7,68.1,0.15,6.2,70.4,High
6,2.3,75.0,0.46,3.5,37.5,Medium
4,3.9,48.5,0.2,8.6,82.9,High
15,0.7,85.4,0.42,2.3,20.2,Low
2,0.8,42.8,-0.5,6.6,86.1,High
1,0.9,53.4,-0.38,8.9,78.6,High
17,0.5,98.7,0.79,1.5,8.0,Low
3,7.2,51.8,-0.5,8.9,100.0,High
11,0.1,81.8,0.87,3.1,20.7,Low
5,0.1,84.5,-0.46,5.8,52.6,Medium
9,4.5,44.5,-0.29,9.5,71.4,High
13,0.1,96.6,0.28,3.5,18.6,Low
3,6.3,50.8,-0.76,6.7,92.3,High
2,5.4,49.4,-0.69,7.6,100.0,High
8,0.9,75.9,-0.49,4.7,56.5,Medium
14,0.4,81.9,0.69,3.3,29.6,Low
20,0.4,83.3,0.57,3.0,14.5,Low
9,0.3,66.7,0.44,4.1,47.7,Medium
4,2.6,36.4,0.17,7.6,84.4,High
6,6.2,80.0,-0.09,4.0,60.6,Medium
15,0.0,88.8,0.3,3.2,13.0,Low
12,3.9,75.2,0.36,1.6,36.4,Medium
9,4.3,81.6,0.24,5.2,61.1,Medium
1,0.7,47.5,-0.35,9.1,88.3,High
14,0.2,95.9,0.39,1.3,15.8,Low
4,1.3,67.0,-0.66,8.3,73.1,High
3,0.8,67.5,0.03,2.9,60.5,Medium
4,12.8,59.7,-0.89,9.4,100.0,High
11,0.5,73.0,0.16,6.3,46.3,Medium
13,0.3,66.4,0.38,6.0,39.8,Medium
5,14.4,62.0,-1.0,8.1,96.2,High
14,0.1,92.7,0.6,2.1,15.1,Low
4,0.6,58.2,-0.67,7.9,67.3,Medium
11,3.8,84.7,-0.31,4.8,45.8,Medium
13,1.7,96.5,0.57,2.3,28.4,Low
7,0.7,75.2,-0.46,6.0,55.5,Medium
5,3.5,66.9,-0.88,6.9,74.1,High
18,0.4,86.4,0.52,1.3,17.5,Low
5,1.1,81.1,-0.1,5.8,59.7,Medium
14,0.2,79.1,0.1,3.6,29.1,Low
17,3.4,78.5,0.03,4.7,37.4,Medium
15,0.2,88.4,0.51,1.6,4.8,Low
9,10.6,64.0,-0.47,7.9,84.5,High
8,5.0,53.5,-0.83,9.3,81.9,High
2,2.8,60.7,-0.99,7.2,87.4,High
2,2.9,49.5,-0.42,7.5,82.9,High
16,0.9,85.4,0.86,2.1,14.4,Low
1,3.1,86.4,-0.54,9.0,69.9,Medium
17,0.1,79.0,0.53,2.8,18.9,Low
15,0.3,92.6,0.72,0.3,7.7,Low
11,2.3,85.4,-0.24,4.3,41.7,Medium
9,1.2,69.9,0.08,5.9,48.0,Medium
2,6.3,55.2,0.31,8.3,89.5,High
9,1.1,76.5,-0.44,5.4,31.8,Low
8,4.0,73.9,0.04,7.2,54.6,Medium
10,0.1,89.3,0.59,2.1,27.6,Low
2,1.5,67.4,-0.64,6.7,70.9,High
6,0.3,81.6,0.28,4.0,40.5,Medium
2,0.5,67.1,-0.06,6.0,63.9,Medium
13,0.1,85.2,0.66,2.8,19.7,Low
2,6.1,62.7,-0.46,7.0,85.2,High
7,0.0,76.6,-0.0,4.2,44.8,Medium
16,1.1,86.9,0.59,1.6,9.5,Low
9,0.3,87.9,0.19,3.9,29.0,Low
10,4.5,80.3,0.23,4.4,45.5,Medium
9,1.2,67.6,-0.4,5.0,64.3,Medium
14,0.2,87.2,0.17,1.2,15.6,Low
3,1.4,62.0,-0.45,8.3,74.3,High
12,0.5,97.4,0.32,2.9,13.6,Low
9,0.7,75.4,0.24,4.1,41.4,Medium
3,1.1,51.5,-0.65,7.3,88.3,High
6,3.1,78.6,0.08,4.6,46.5,Medium
7,4.7,80.1,0.17,3.0,53.9,Medium
10,0.0,81.9,-0.12,4.9,35.5,Medium
24,0.7,83.6,0.75,0.9,13.1,Low
3,1.2,55.1,-0.88,6.7,77.7,High
8,4.9,76.7,0.15,5.0,54.7,Medium
4,15.3,67.5,-0.36,6.3,86.9,High
15,0.2,88.6,0.55,3.2,19.5,Low
6,0.3,94.0,0.58,1.4,28.7,Low
14,1.7,98.4,0.85,3.0,19.0,Low
15,11.7,82.0,-0.27,2.2,56.9,Medium
9,8.5,79.3,-0.01,4.5,64.5,Medium
2,3.9,53.0,-0.62,8.9,91.5,High
13,2.3,84.6,-0.11,5.7,43.1,Medium
2,0.3,59.5,-0.29,7.0,76.4,High
14,0.0,86.4,0.81,3.2,11.1,Low
4,6.6,53.1,-0.49,8.1,96.2,High
5,11.3,51.2,-0.41,9.3,100.0,High
4,4.2,64.5,-0.28,7.3,73.9,High
3,0.3,32.0,-0.45,5.6,83.2,High
2,5.7,55.7,-0.26,4.9,81.0,High
5,0.8,61.1,-0.65,4.5,70.9,High
20,0.4,87.7,0.49,1.6,6.9,Low
22,0.1,86.4,0.31,1.0,24.9,Low
3,0.1,51.4,-0.57,9.2,74.4,High
10,0.8,70.9,-0.07,6.1,44.9,Medium
1,5.2,55.5,-0.9,7.1,86.3,High
10,3.3,78.1,0.52,7.6,52.9,Medium
17,0.0,93.3,0.37,2.3,16.9,Low
14,0.7,93.2,0.89,2.4,11.7,Low
8,0.7,67.6,0.05,5.7,43.8,Medium
8,2.4,75.7,-0.05,3.2,41.1,Medium
10,0.1,93.6,0.54,3.4,20.2,Low
9,0.9,80.9,-0.28,7.5,49.8,Medium
15,0.7,97.7,0.69,1.4,11.3,Low
8,0.1,89.7,0.13,4.6,40.5,Medium
17,0.0,96.8,0.46,2.4,5.7,Low
5,8.3,49.1,-0.76,8.6,95.1,High
9,1.0,69.1,-0.24,5.1,54.8,Medium
9,0.6,90.6,0.11,6.7,39.1,Medium
20,1.8,97.0,0.27,1.6,28.5,Low
10,1.0,91.9,0.76,3.0,33.1,Low
7,1.9,50.1,0.06,6.7,62.9,Medium
3,1.1,67.9,0.2,7.0,67.5,Medium
10,1.6,68.7,-0.11,4.8,48.0,Medium
14,0.0,91.0,0.31,1.9,7.3,Low
6,1.4,72.9,-0.99,1.9,50.8,Medium
4,2.7,61.4,-1.0,9.0,83.0,High
6,0.3,57.8,-0.49,6.6,61.9,Medium
15,0.2,88.5,0.72,0.9,2.4,Low
6,8.9,76.4,0.55,5.6,57.8,Medium
13,0.0,82.8,0.76,2.0,15.6,Low
16,0.0,91.2,0.77,2.0,4.7,Low
1,4.7,61.1,-0.27,8.4,85.5,High
8,0.5,94.0,0.45,1.9,27.3,Low
12,1.0,75.1,0.22,8.0,40.9,Medium
9,1.4,66.2,-0.11,7.2,57.0,Medium
2,0.9,46.3,-0.97,6.2,83.4,High
10,0.9,91.3,0.18,7.2,43.1,Medium
8,0.3,86.3,0.49,1.6,23.9,Low
11,0.3,68.1,0.28,6.1,42.1,Medium
4,0.2,60.3,-0.21,6.1,64.8,Medium
19,0.1,85.5,0.88,0.9,5.8,Low
11,0.6,68.6,0.24,6.2,45.6,Medium
12,0.8,84.8,0.51,2.2,19.5,Low
14,0.2,89.7,0.35,3.6,7.0,Low
13,0.2,67.9,0.28,7.2,43.7,Medium
13,0.4,91.8,0.7,1.7,13.9,Low
13,1.4,74.3,-0.06,3.1,34.2,Low
9,1.1,66.0,-0.39,5.4,55.8,Medium
3,1.9,66.9,-0.86,5.7,76.1,High
10,0.1,91.0,0.54,2.3,20.2,Low
14,0.8,82.6,0.69,2.6,15.9,Low
17,0.0,87.9,0.76,2.1,4.4,Low
8,4.9,69.4,0.57,7.4,62.4,Medium
5,4.5,43.6,-0.58,9.9,90.1,High
19,0.1,96.9,0.52,3.7,10.0,Low
3,3.7,48.3,0.84,9.0,79.7,High
18,0.5,81.2,0.94,2.6,15.5,Low
6,4.3,78.8,0.31,6.1,58.1,Medium
5,3.1,52.8,-0.69,8.2,81.9,High
4,0.4,64.6,-0.87,7.7,70.9,High
2,0.4,47.8,-0.67,7.3,84.8,High
3,5.3,62.2,-0.45,8.0,77.7,High
5,0.4,92.9,-0.24,3.8,38.8,Medium
5,3.0,53.1,-0.09,7.7,68.8,Medium
12,0.1,90.7,0.49,3.4,27.9,Low
3,8.0,52.2,-1.0,8.9,100.0,High
5,0.8,71.6,0.32,4.4,57.2,Medium
7,1.3,55.6,-0.73,9.0,70.4,High
4,3.6,66.6,-0.3,5.8,77.5,High
10,0.1,75.8,0.18,6.9,42.1,Medium
7,0.8,84.7,-0.11,4.0,48.0,Medium
3,1.3,57.6,-0.28,7.3,68.8,Medium
12,0.9,93.3,0.71,2.9,20.3,Low
13,0.6,95.8,0.63,3.0,10.7,Low
18,0.1,96.3,0.63,0.9,3.2,Low
13,0.8,86.4,0.68,2.0,19.8,Low
3,1.7,58.4,-0.65,9.7,89.0,High
11,0.7,95.8,0.49,3.2,19.7,Low
0,4.0,50.4,-1.0,6.0,99.7,High
9,3.5,62.6,-0.14,5.6,57.4,Medium
22,0.0,85.7,0.54,3.4,15.1,Low
5,8.6,37.3,-0.32,7.1,91.3,High
7,0.6,67.0,-0.05,6.7,53.5,Medium
13,1.4,65.1,0.16,4.5,43.1,Medium
8,0.0,73.6,0.24,6.8,45.2,Medium
4,0.3,48.9,-0.74,8.9,72.5,High
11,0.0,90.1,0.36,2.1,23.7,Low
3,3.9,44.5,-1.0,6.9,92.0,High
1,19.5,51.6,-0.66,8.0,100.0,High
4,1.2,77.9,0.39,3.1,49.0,Medium
13,0.0,89.7,0.83,1.5,17.4,Low
6,1.8,72.2,-0.02,2.7,53.9,Medium
14,0.0,76.5,0.5,2.9,28.9,Low
11,0.1,92.5,0.39,0.5,27.0,Low
13,1.7,80.7,0.59,1.5,25.7,Low
11,2.2,73.3,-0.16,4.2,46.2,Medium
1,4.5,61.9,-0.3,8.1,90.0,High
1,4.1,69.1,-0.64,9.7,84.1,High
1,0.8,55.5,-0.68,8.5,88.4,High
7,1.8,76.2,0.18,6.0,56.6,Medium
9,3.9,98.5,0.38,5.0,46.2,Medium
11,2.4,78.7,0.31,5.0,29.2,Low
3,1.7,54.5,-0.39,7.8,59.9,Medium
20,0.6,88.2,0.58,2.6,20.8,Low
3,17.8,63.9,-0.61,7.7,96.6,High
5,0.7,87.2,0.38,3.1,37.0,Medium
8,0.7,74.1,0.31,2.8,46.2,Medium
1,4.5,62.7,-0.64,7.6,83.0,High
4,1.3,61.1,0.1,6.9,80.4,High
3,14.7,45.5,-0.05,8.9,97.9,High
6,19.9,52.2,-0.05,8.9,95.8,High
6,1.0,73.8,0.42,4.3,50.7,Medium
24,0.0,91.8,0.71,2.6,11.4,Low
6,0.6,78.3,-0.1,7.1,56.3,Medium
4,2.6,64.6,-0.52,6.2,74.1,High
18,0.1,94.1,0.63,2.3,16.7,Low
9,0.3,77.0,-0.25,7.7,48.0,Medium
7,3.0,78.4,-0.1,2.7,54.9,Medium
6,11.1,41.9,-0.45,8.3,100.0,High
15,0.3,85.2,0.53,1.8,24.9,Low
2,13.0,78.8,-0.43,8.7,88.1,High
6,2.0,67.1,-0.72,7.5,69.8,Medium
20,2.9,87.2,0.73,0.5,18.4,Low
12,0.0,91.5,0.13,3.0,23.6,Low
3,16.0,55.3,-0.17,8.8,100.0,High
8,0.0,92.4,0.56,2.4,25.4,Low
2,7.2,65.4,-0.5,8.2,91.9,High
8,0.5,85.3,0.0,5.2,36.0,Medium
22,0.5,85.2,0.57,4.4,20.1,Low
5,1.4,60.5,-0.57,7.8,75.9,High
3,1.8,86.2,0.26,3.5,47.3,Medium
10,0.7,79.3,0.36,5.7,38.3,Medium
12,1.4,77.8,-0.06,3.7,29.9,Low
9,3.5,90.8,0.17,7.9,49.9,Medium
13,0.3,89.5,0.91,2.2,7.6,Low
4,1.0,70.0,-0.28,7.2,69.3,Medium
2,6.2,39.7,-0.46,8.3,100.0,High
14,0.1,84.4,0.82,1.6,16.2,Low
4,2.9,81.4,-0.3,5.4,62.1,Medium
9,1.3,86.6,0.65,5.1,37.7,Medium
4,2.4,69.8,0.04,6.6,70.5,High
13,0.1,89.7,0.58,1.5,16.5,Low
5,0.4,75.4,-0.63,7.0,64.3,Medium
5,1.3,86.3,0.31,4.8,42.7,Medium
16,0.1,91.4,1.0,2.1,1.8,Low
21,0.5,88.8,0.37,1.4,19.5,Low
16,0.1,97.2,0.61,2.3,11.3,Low
6,2.1,67.9,0.16,5.1,57.4,Medium
3,0.3,90.1,0.41,3.6,49.9,Medium
7,3.8,72.8,-0.33,7.4,68.4,Medium
9,9.0,69.3,0.5,3.7,61.3,Medium
19,0.2,85.7,0.5,1.7,14.7,Low
11,0.0,83.3,0.08,2.9,31.7,Low
2,0.9,54.2,-0.62,9.7,86.0,High
19,0.1,95.3,0.43,2.4,17.0,Low
14,0.1,85.8,0.99,2.2,10.4,Low
11,0.0,85.8,0.28,1.6,29.7,Low
0,2.2,61.6,-0.5,7.6,80.2,High
3,0.6,73.0,-0.22,5.1,50.1,Medium
10,1.4,78.9,-0.34,7.6,56.5,Medium
0,4.0,41.7,-0.37,7.3,89.2,High
6,0.5,44.0,-0.87,8.5,75.0,High
9,3.2,83.4,0.04,7.1,55.1,Medium
1,7.1,46.1,-0.61,6.9,93.8,High
25,0.4,94.6,0.61,0.6,6.0,Low
12,0.3,96.4,0.82,0.6,12.1,Low
17,0.4,94.9,0.32,2.2,20.5,Low
11,1.4,86.6,0.44,2.5,24.8,Low
7,0.8,87.1,0.08,3.2,44.2,Medium
2,0.4,75.3,-0.25,8.7,63.0,Medium
11,0.0,98.3,1.0,3.1,13.1,Low
11,0.0,91.7,0.67,1.7,19.4,Low
6,1.5,78.5,0.2,4.7,51.2,Medium
4,2.2,56.2,-0.81,7.4,82.0,High
10,0.9,65.6,-0.27,7.1,54.4,Medium
7,4.7,82.2,-0.09,4.2,58.0,Medium
19,0.0,91.7,0.41,3.2,19.6,Low
18,0.7,82.1,0.7,3.4,15.0,Low
1,0.3,58.0,-0.47,8.4,92.1,High
2,1.6,41.2,-0.57,8.2,84.1,High
16,0.7,91.6,0.45,2.7,20.8,Low
5,11.8,47.3,-0.62,7.5,100.0,High
8,1.3,71.9,-0.1,4.7,48.8,Medium
1,4.6,50.5,-0.12,7.7,86.4,High
8,3.9,78.8,0.24,5.3,59.0,Medium
7,0.8,72.2,0.31,3.9,46.9,Medium
6,4.0,71.3,0.05,5.1,62.4,Medium
8,0.0,86.6,0.38,3.1,33.4,Low
16,0.5,100.0,0.74,2.4,12.1,Low
8,0.9,96.8,0.59,1.1,16.2,Low
7,0.0,67.7,-0.02,5.6,48.5,Medium
4,3.7,64.2,-0.23,7.7,72.5,High
8,0.1,88.4,0.69,2.1,28.2,Low
8,2.2,65.4,0.19,4.6,52.6,Medium
1,17.3,48.5,-0.36,7.0,100.0,High
18,0.9,90.8,0.68,1.4,6.4,Low
9,2.4,79.2,0.31,3.2,37.3,Medium
13,8.0,73.1,0.21,6.1,62.8,Medium
5,9.3,48.3,-0.77,5.0,94.3,High
15,0.2,92.6,0.47,2.1,0.4,Low
12,0.2,83.6,-0.65,4.3,29.5,Low
1,0.2,70.8,-0.39,7.5,63.3,Medium
0,9.1,59.3,-0.54,8.6,94.3,High
11,1.5,75.1,0.11,6.0,42.2,Medium
13,0.1,76.6,0.13,7.6,29.9,Low
5,0.8,71.8,-0.15,4.8,54.5,Medium
2,4.5,49.5,-0.55,7.0,83.3,High
12,1.3,84.7,-0.09,2.2,29.7,Low
14,0.0,87.0,0.61,2.1,13.6,Low
3,6.4,44.9,-0.49,9.2,100.0,High
10,0.2,68.3,-0.02,6.6,49.9,Medium
11,6.1,78.2,0.27,4.6,52.3,Medium
5,0.0,82.7,0.65,1.8,39.6,Medium
9,2.4,88.3,-0.13,5.1,46.2,Medium
7,4.7,60.5,-0.04,5.9,69.8,Medium
0,2.3,69.3,0.2,3.7,64.5,Medium
18,0.6,100.0,0.78,2.7,19.0,Low
11,2.0,86.7,-0.07,5.4,43.6,Medium
6,1.4,51.7,-0.89,9.7,87.3,High
21,0.3,95.1,0.85,0.7,0.0,Low
2,5.8,63.3,-0.28,9.3,86.4,High
7,3.2,71.0,0.02,6.6,50.2,Medium
5,3.3,48.7,-0.22,8.0,74.0,High
3,4.5,56.2,-0.43,6.8,83.3,High
9,4.4,73.5,-0.47,5.2,64.9,Medium
3,4.4,32.8,-0.72,8.7,93.4,High
5,1.8,51.8,-0.39,7.1,64.0,Medium
12,1.1,72.1,0.42,6.0,36.2,Medium
7,2.6,73.3,-0.21,5.1,53.1,Medium
13,6.2,80.6,0.22,4.9,47.3,Medium
4,2.7,40.0,-0.87,7.0,83.5,High
4,0.9,41.8,-0.79,9.4,87.2,High
4,29.7,70.1,-0.72,7.5,100.0,High
8,0.3,59.8,0.11,2.7,45.0,Medium
1,5.1,51.2,-0.54,7.8,94.7,High
22,0.2,92.8,0.67,0.8,0.0,Low
7,2.1,72.9,-0.27,2.8,55.8,Medium
8,0.1,92.3,0.8,1.8,19.8,Low
9,2.7,81.8,-0.26,5.2,47.8,Medium
8,4.5,78.1,-0.3,4.2,60.1,Medium
9,5.6,76.0,-0.14,4.0,59.4,Medium
7,0.0,78.6,0.55,6.6,44.9,Medium
13,4.4,85.5,-0.02,5.5,46.0,Medium
7,0.3,81.7,0.3,5.7,40.7,Medium
12,0.3,86.3,0.89,3.0,17.3,Low
8,2.6,90.5,-0.25,4.8,40.5,Medium
17,0.4,90.2,1.0,1.6,10.3,Low
14,2.0,88.5,0.78,1.1,5.6,Low
4,0.7,71.9,0.08,5.4,57.3,Medium
10,1.9,70.5,0.02,5.0,51.5,Medium
9,6.9,70.2,-0.17,3.2,66.5,Medium
2,1.4,65.0,-0.01,1.1,55.7,Medium
5,1.5,68.8,-0.31,6.1,56.0,Medium
1,3.7,56.9,-0.22,8.6,99.5,High
4,0.1,87.4,0.45,2.1,37.0,Medium
4,4.6,80.6,-0.11,3.5,72.8,High
11,1.2,86.7,0.49,1.2,29.3,Low
14,2.9,74.4,0.07,6.2,52.5,Medium
11,0.1,84.5,0.4,5.2,32.2,Low
13,0.6,72.5,0.26,7.3,44.3,Medium
11,3.0,67.3,-0.03,4.0,40.7,Medium
12,2.4,72.4,0.13,6.7,45.6,Medium
12,2.0,62.6,-0.68,5.3,60.9,Medium
4,0.1,53.8,-0.75,10.0,80.9,High
2,6.0,73.5,-1.0,9.4,95.8,High
2,5.5,46.0,-1.0,8.2,100.0,High
3,11.8,60.8,-0.26,9.3,100.0,High
18,1.9,83.3,0.68,3.9,23.5,Low
18,0.4,92.4,0.53,2.4,9.1,Low
12,1.4,88.3,0.56,2.0,19.4,Low
11,0.8,74.0,-0.31,2.8,40.8,Medium
0,6.4,61.7,-0.84,7.3,97.0,High
15,1.0,88.3,0.64,1.3,8.8,Low
3,6.8,63.6,-0.36,8.7,86.1,High
20,0.2,92.5,0.26,1.7,1.6,Low
4,0.8,49.5,-0.28,8.9,74.4,High
10,5.3,80.8,-0.05,5.3,52.7,Medium
18,0.4,84.1,0.5,1.2,11.4,Low
6,0.2,86.1,-0.53,6.9,64.7,Medium
13,0.9,86.7,0.55,1.3,17.0,Low
15,0.3,93.6,0.43,2.1,11.1,Low
1,4.1,69.6,0.09,6.6,82.7,High
3,2.5,66.3,-0.71,9.1,84.4,High
9,0.0,57.1,0.46,1.7,32.6,Low
10,0.3,66.7,-0.27,5.7,49.0,Medium
9,3.1,75.6,0.42,5.8,49.7,Medium
3,8.0,42.7,-0.56,7.9,97.8,High
15,0.3,90.1,0.37,2.8,25.1,Low
11,2.7,69.4,0.09,6.7,53.1,Medium
21,0.9,88.2,0.34,3.7,23.8,Low
16,0.7,83.9,0.74,2.4,10.9,Low
7,3.5,73.6,-0.31,7.4,69.9,Medium
17,0.5,91.4,0.48,3.1,22.0,Low
11,2.9,81.2,-0.33,3.7,46.4,Medium
5,11.5,37.8,-0.79,7.6,100.0,High
17,1.9,89.4,0.74,2.8,20.8,Low
6,2.2,91.8,-0.01,5.2,51.4,Medium
20,0.8,88.8,0.41,2.8,9.7,Low
4,1.2,64.3,-0.63,8.7,62.2,Medium
6,0.7,76.4,-0.02,7.0,55.9,Medium
0,0.6,59.6,-0.15,7.6,68.4,Medium
13,0.2,69.8,0.23,4.8,30.9,Low
19,0.6,86.7,0.55,1.2,18.0,Low
6,5.2,80.4,-0.03,5.0,63.0,Medium
2,1.5,51.7,-0.07,8.6,72.1,High
8,0.3,69.1,-0.27,4.6,43.7,Medium
2,4.3,63.2,-0.35,6.0,81.3,High
5,4.4,46.9,-0.37,8.7,84.3,High
16,0.1,100.0,0.82,3.2,1.2,Low
8,0.4,92.1,0.43,0.5,16.9,Low
12,0.9,84.4,-0.09,7.6,41.5,Medium
4,1.1,71.8,0.55,8.0,54.7,Medium
2,2.5,65.2,-0.35,8.7,82.8,High
1,1.2,76.1,-0.34,8.9,79.1,High
4,0.9,72.8,-0.19,6.2,61.2,Medium
19,0.1,83.4,0.64,1.7,19.5,Low
3,11.2,57.1,-0.19,7.5,91.2,High
18,0.4,98.7,0.48,2.0,16.9,Low
2,14.0,65.1,-0.69,8.9,100.0,High
13,1.2,62.8,0.53,4.5,34.3,Low
4,1.2,69.4,0.15,3.6,49.7,Medium
14,0.2,93.6,0.9,2.2,7.2,Low
10,1.8,75.0,-0.6,7.2,49.2,Medium
4,0.2,69.5,-0.21,4.8,60.0,Medium
3,0.4,56.4,-0.01,4.1,66.0,Medium
14,0.3,93.1,0.82,2.1,0.0,Low
5,1.9,53.8,-0.23,8.4,68.9,Medium
3,6.8,51.8,-0.64,8.2,89.6,High
20,0.0,96.9,0.66,2.6,6.1,Low
16,0.1,90.9,0.59,2.4,11.7,Low
16,0.3,89.5,0.72,1.6,14.1,Low
6,0.7,72.9,-0.15,3.8,59.2,Medium
6,0.3,83.9,0.39,2.3,38.4,Medium
8,1.1,87.8,-0.26,5.1,53.5,Medium
14,0.4,86.6,0.6,2.9,19.2,Low
8,1.2,70.8,-0.08,2.7,47.4,Medium
1,1.9,79.6,-0.26,5.2,58.9,Medium
9,0.3,74.9,0.09,6.2,40.7,Medium
4,2.6,52.4,-1.0,7.8,78.2,High
15,0.9,82.2,0.62,3.1,22.8,Low
12,0.1,86.0,-0.11,5.2,33.9,Low
5,2.8,74.0,-0.2,3.8,60.4,Medium
12,0.1,84.7,-0.32,4.2,37.6,Medium
3,1.1,47.3,-0.07,7.7,77.0,High
10,1.8,80.6,0.05,3.5,34.8,Low
5,12.8,57.9,-0.51,8.7,94.7,High
15,0.3,94.4,0.75,0.0,10.3,Low
6,0.3,87.2,0.5,4.6,39.5,Medium
5,0.5,54.5,-0.78,6.4,79.6,High
4,5.0,72.8,-0.12,5.6,74.4,High
21,0.4,95.9,0.57,1.1,2.1,Low
10,0.5,82.1,0.61,0.3,16.7,Low
14,0.2,90.8,0.61,3.6,12.5,Low
2,19.4,62.1,-0.52,7.8,100.0,High
14,0.4,88.1,0.91,1.2,12.3,Low
10,0.2,70.2,-0.34,2.3,42.3,Medium
12,0.1,93.1,0.6,3.4,24.0,Low
5,4.9,73.5,-0.43,7.0,72.8,High
19,0.2,89.0,0.48,3.2,21.8,Low
11,0.4,73.8,-0.34,4.9,40.9,Medium
18,0.3,92.9,0.54,1.8,5.3,Low
4,7.9,30.7,-0.29,8.1,100.0,High
20,0.1,97.6,0.59,0.0,7.3,Low
8,0.6,74.7,-0.19,5.2,47.2,Medium
2,18.2,54.2,0.08,8.7,100.0,High
10,0.5,76.3,-0.01,9.4,46.5,Medium
8,4.4,80.7,-0.56,3.9,57.5,Medium
13,0.7,70.9,-0.12,6.7,43.8,Medium
5,0.1,72.0,-0.05,3.8,45.2,Medium
9,1.9,86.6,-0.33,6.2,43.7,Medium
4,9.0,45.7,-0.27,6.8,96.2,High
8,3.0,63.2,0.29,2.7,45.7,Medium
7,1.5,88.1,0.01,3.1,36.3,Medium
6,8.8,62.0,-0.16,7.3,85.2,High
7,4.6,70.9,0.28,3.4,50.0,Medium
13,0.1,90.2,0.6,1.5,12.3,Low
5,0.3,68.3,-0.05,3.9,45.0,Medium
5,6.5,64.9,-0.04,9.5,87.9,High
14,0.1,88.4,0.76,2.3,9.1,Low
12,0.3,73.6,-0.12,5.1,33.2,Low
15,0.7,88.3,0.44,1.3,12.2,Low
6,4.4,57.8,0.09,3.7,60.5,Medium
9,0.0,93.4,0.25,0.4,19.6,Low
5,2.8,86.7,0.08,5.8,55.9,Medium
5,4.7,60.3,-0.82,10.0,84.2,High
